item_id,name,sku,size,price
4055338996132,#CДжинсы муж.,AE3661,42,3990
4055338996187,#CДжинсы муж.,AE3661,43,3990
4055338996156,#CДжинсы муж.,AE3661,45,3990
4055338996149,#CДжинсы муж.,AE3661,46,3990
4055338996194,#CДжинсы муж.,AE3661,47,3990
4055338992059,#CДжинсы муж.,AE3662,41,3990
4055338992035,#CДжинсы муж.,AE3662,42,3990
4055338992028,#CДжинсы муж.,AE3662,43,3990
4055338991991,#CДжинсы муж.,AE3662,45,3990
4055338992011,#CДжинсы муж.,AE3662,46,3990
4055338992042,#CДжинсы муж.,AE3662,47,3990
4055338979098,#CДжинсы муж.,AE3663,41,3990
4055338979074,#CДжинсы муж.,AE3663,42,3990
4055338979029,#CДжинсы муж.,AE3663,43,3990
4055338979067,#CДжинсы муж.,AE3663,45,3990
4055338979043,#CДжинсы муж.,AE3663,46,3990
4055338979036,#CДжинсы муж.,AE3663,47,3990
4055341477956,Кроссовки дет. спорт.,AF4496,18.5,2990
4055341478045,Кроссовки дет. спорт.,AF4496,19,2990
4055341358057,#CКроссовки дет. спорт.,AF4530,17.5,2990
4055341357944,#CКроссовки дет. спорт.,AF4530,18,2990
4055341357968,#CКроссовки дет. спорт.,AF4530,18.5,2990
4055341358033,#CКроссовки дет. спорт.,AF4530,19,2990
4055341358019,#CКроссовки дет. спорт.,AF4530,20,2990
4055341357975,#CКроссовки дет. спорт.,AF4530,21.5,2990
4055341357999,#CКроссовки дет. спорт.,AF4530,35,2990
4055341357920,#CКроссовки дет. спорт.,AF4530,36,2990
4055341357951,#CКроссовки дет. спорт.,AF4530,36.5,2990
4055341358002,#CКроссовки дет. спорт.,AF4530,37,2990
4055341358026,#CКроссовки дет. спорт.,AF4530,37.5,2990
4055341401135,#CКроссовки дет. спорт.,AF4532,18.5,2990
4055341401012,#CКроссовки дет. спорт.,AF4532,19,2990
4055341396943,#CКроссовки дет. спорт.,AF4532,20,2990
4055341396899,#CКроссовки дет. спорт.,AF4532,21,2990
4055341401074,#CКроссовки дет. спорт.,AF4532,21.5,2990
4055341401050,#CКроссовки дет. спорт.,AF4532,35,2990
4055341396929,#CКроссовки дет. спорт.,AF4532,35.5,2990
4055341401036,#CКроссовки дет. спорт.,AF4532,36,2990
4055341401005,#CКроссовки дет. спорт.,AF4532,36.5,2990
4055341401098,#CКроссовки дет. спорт.,AF4532,37,2990
4055341401067,#CКроссовки дет. спорт.,AF4532,37.5,2990
4055341474399,Кроссовки дет. спорт.,AF4533,18.5,2990
4055341474382,Кроссовки дет. спорт.,AF4533,19,2990
4055341036764,Футбольная обувь (для зала) муж.,AF4822,38,5390
4055341036689,Футбольная обувь (для зала) муж.,AF4822,39,5390
4055341036740,Футбольная обувь (для зала) муж.,AF4822,40,5390
4055341036726,Футбольная обувь (для зала) муж.,AF4822,40.5,5390
4055341036757,Футбольная обувь (для зала) муж.,AF4822,41,5390
4055341036801,Футбольная обувь (для зала) муж.,AF4822,42,5390
4055341036696,Футбольная обувь (для зала) муж.,AF4822,42.5,5390
4055341036672,Футбольная обувь (для зала) муж.,AF4822,43,5390
4055341036719,Футбольная обувь (для зала) муж.,AF4822,44,5390
4055341036771,Футбольная обувь (для зала) муж.,AF4822,44.5,5390
4055341036702,Футбольная обувь (для зала) муж.,AF4822,45,5390
4055341036665,Футбольная обувь (для зала) муж.,AF4822,46,5390
4055341033961,Футбольные бутсы (шиповки) муж.,AF4831,39,3990
4055341033985,Футбольные бутсы (шиповки) муж.,AF4831,40.5,3990
4055341031974,Футбольные бутсы (шиповки) муж.,AF4831,41,3990
4055341032018,Футбольные бутсы (шиповки) муж.,AF4831,42.5,3990
4055341033992,Футбольные бутсы (шиповки) муж.,AF4831,44,3990
4055341064101,Футбольная обувь (для зала) муж.,AF4838,41,3990
4055341064088,Футбольная обувь (для зала) муж.,AF4838,42,3990
4055341065252,Футбольная обувь (для зала) муж.,AF4838,42.5,3990
4055341064064,Футбольная обувь (для зала) муж.,AF4838,43,3990
4055341065221,Футбольная обувь (для зала) муж.,AF4838,44.5,3990
4055341064125,Футбольная обувь (для зала) муж.,AF4838,46,3990
4055341257985,Футбольные бутсы (для тверд.п.),AF4977,39,3990
4055341257916,Футбольные бутсы (для тверд.п.),AF4977,40.5,3990
4055341257930,Футбольные бутсы (для тверд.п.),AF4977,42,3990
4055341257992,Футбольные бутсы (для тверд.п.),AF4977,42.5,3990
4055341258036,Футбольные бутсы (для тверд.п.),AF4977,43,3990
4055341417389,Футбольные бутсы (для тверд.п.),AF5034,21,2990
4055341417372,Футбольные бутсы (для тверд.п.),AF5034,35,2990
4055341019293,Футбольная обувь (для зала) муж.,AF5040,40.5,3990
4055341019262,Футбольная обувь (для зала) муж.,AF5040,41,3990
4055341020459,Футбольная обувь (для зала) муж.,AF5040,42,3990
4055341020435,Футбольная обувь (для зала) муж.,AF5040,42.5,3990
4055341019286,Футбольная обувь (для зала) муж.,AF5040,43,3990
4055341019309,Футбольная обувь (для зала) муж.,AF5040,44,3990
4055341404266,#CФутбольная обувь (для зала) де,AF5044,20,2990
4055341023924,#CФутбольная обувь (для зала) де,AF5044,21,2990
4055341023887,#CФутбольная обувь (для зала) де,AF5044,21.5,2990
4055341023856,#CФутбольная обувь (для зала) де,AF5044,35,2990
4055341023818,#CФутбольная обувь (для зала) де,AF5044,36,2990
4055341023863,#CФутбольная обувь (для зала) де,AF5044,37,2990
4055341211918,Футбольные бутсы (шиповки) муж.,AF5057,39,3990
4055341211994,Футбольные бутсы (шиповки) муж.,AF5057,40.5,3990
4055341210805,Футбольные бутсы (шиповки) муж.,AF5057,41,3990
4055341211925,Футбольные бутсы (шиповки) муж.,AF5057,42,3990
4055341211970,Футбольные бутсы (шиповки) муж.,AF5057,42.5,3990
4055341210829,Футбольные бутсы (шиповки) муж.,AF5057,43,3990
4055341210775,Футбольные бутсы (шиповки) муж.,AF5057,44,3990
4055341215541,#CФутбольные бутсы (шиповки) дет,AF5079,20,2990
4055341215572,#CФутбольные бутсы (шиповки) дет,AF5079,21,2990
4055341215619,#CФутбольные бутсы (шиповки) дет,AF5079,21.5,2990
4055341215459,#CФутбольные бутсы (шиповки) дет,AF5079,35,2990
4055341215558,#CФутбольные бутсы (шиповки) дет,AF5079,36,2990
4055341215602,#CФутбольные бутсы (шиповки) дет,AF5079,37,2990
4055341269025,Футбольные бутсы (для тверд.п.),AF5145,39,5390
4055341269032,Футбольные бутсы (для тверд.п.),AF5145,40,5390
